binder_name,pdb_model_name,binder_path,monomer_pdb,binder_complex_monomer_rmsd
BCMA_int_0005,BCMA_int_0005__BCMA_model_4,examples/03_lead_mutagenesis_boltz_refolded/predictions/boltz_predictions/chunk_2/boltz_results_chunk_2/predictions/BCMA_int_0005__BCMA/BCMA_int_0005__BCMA_model_4.pdb,/data1/lareauc/users/chuh/softwares/CARPNN/examples/03_lead_mutagenesis_boltz_refolded/predictions/af2_monomers/part_2/BCMA_int_0005_model_4.0_r10_af2.pdb,0.707
BCMA_nonint_0001,BCMA_nonint_0001__BCMA_model_3,examples/03_lead_mutagenesis_boltz_refolded/predictions/boltz_predictions/chunk_2/boltz_results_chunk_2/predictions/BCMA_nonint_0001__BCMA/BCMA_nonint_0001__BCMA_model_3.pdb,/data1/lareauc/users/chuh/softwares/CARPNN/examples/03_lead_mutagenesis_boltz_refolded/predictions/af2_monomers/part_2/BCMA_nonint_0001_model_4.0_r10_af2.pdb,1.054
BCMA_nonint_0001,BCMA_nonint_0001__BCMA_model_2,examples/03_lead_mutagenesis_boltz_refolded/predictions/boltz_predictions/chunk_2/boltz_results_chunk_2/predictions/BCMA_nonint_0001__BCMA/BCMA_nonint_0001__BCMA_model_2.pdb,/data1/lareauc/users/chuh/softwares/CARPNN/examples/03_lead_mutagenesis_boltz_refolded/predictions/af2_monomers/part_2/BCMA_nonint_0001_model_4.0_r10_af2.pdb,1.157
BCMA_nonint_0001,BCMA_nonint_0001__BCMA_model_0,examples/03_lead_mutagenesis_boltz_refolded/predictions/boltz_predictions/chunk_2/boltz_results_chunk_2/predictions/BCMA_nonint_0001__BCMA/BCMA_nonint_0001__BCMA_model_0.pdb,/data1/lareauc/users/chuh/softwares/CARPNN/examples/03_lead_mutagenesis_boltz_refolded/predictions/af2_monomers/part_2/BCMA_nonint_0001_model_4.0_r10_af2.pdb,1.11
BCMA_nonint_0001,BCMA_nonint_0001__BCMA_model_4,examples/03_lead_mutagenesis_boltz_refolded/predictions/boltz_predictions/chunk_2/boltz_results_chunk_2/predictions/BCMA_nonint_0001__BCMA/BCMA_nonint_0001__BCMA_model_4.pdb,/data1/lareauc/users/chuh/softwares/CARPNN/examples/03_lead_mutagenesis_boltz_refolded/predictions/af2_monomers/part_2/BCMA_nonint_0001_model_4.0_r10_af2.pdb,1.077
BCMA_nonint_0001,BCMA_nonint_0001__BCMA_model_1,examples/03_lead_mutagenesis_boltz_refolded/predictions/boltz_predictions/chunk_2/boltz_results_chunk_2/predictions/BCMA_nonint_0001__BCMA/BCMA_nonint_0001__BCMA_model_1.pdb,/data1/lareauc/users/chuh/softwares/CARPNN/examples/03_lead_mutagenesis_boltz_refolded/predictions/af2_monomers/part_2/BCMA_nonint_0001_model_4.0_r10_af2.pdb,1.244
BCMA_nonint_0002,BCMA_nonint_0002__BCMA_model_4,examples/03_lead_mutagenesis_boltz_refolded/predictions/boltz_predictions/chunk_3/boltz_results_chunk_3/predictions/BCMA_nonint_0002__BCMA/BCMA_nonint_0002__BCMA_model_4.pdb,/data1/lareauc/users/chuh/softwares/CARPNN/examples/03_lead_mutagenesis_boltz_refolded/predictions/af2_monomers/part_2/BCMA_nonint_0002_model_4.0_r10_af2.pdb,2.299
BCMA_nonint_0002,BCMA_nonint_0002__BCMA_model_2,examples/03_lead_mutagenesis_boltz_refolded/predictions/boltz_predictions/chunk_3/boltz_results_chunk_3/predictions/BCMA_nonint_0002__BCMA/BCMA_nonint_0002__BCMA_model_2.pdb,/data1/lareauc/users/chuh/softwares/CARPNN/examples/03_lead_mutagenesis_boltz_refolded/predictions/af2_monomers/part_2/BCMA_nonint_0002_model_4.0_r10_af2.pdb,2.492
BCMA_nonint_0002,BCMA_nonint_0002__BCMA_model_3,examples/03_lead_mutagenesis_boltz_refolded/predictions/boltz_predictions/chunk_3/boltz_results_chunk_3/predictions/BCMA_nonint_0002__BCMA/BCMA_nonint_0002__BCMA_model_3.pdb,/data1/lareauc/users/chuh/softwares/CARPNN/examples/03_lead_mutagenesis_boltz_refolded/predictions/af2_monomers/part_2/BCMA_nonint_0002_model_4.0_r10_af2.pdb,2.326
BCMA_nonint_0002,BCMA_nonint_0002__BCMA_model_0,examples/03_lead_mutagenesis_boltz_refolded/predictions/boltz_predictions/chunk_3/boltz_results_chunk_3/predictions/BCMA_nonint_0002__BCMA/BCMA_nonint_0002__BCMA_model_0.pdb,/data1/lareauc/users/chuh/softwares/CARPNN/examples/03_lead_mutagenesis_boltz_refolded/predictions/af2_monomers/part_2/BCMA_nonint_0002_model_4.0_r10_af2.pdb,2.171
BCMA_nonint_0002,BCMA_nonint_0002__BCMA_model_1,examples/03_lead_mutagenesis_boltz_refolded/predictions/boltz_predictions/chunk_3/boltz_results_chunk_3/predictions/BCMA_nonint_0002__BCMA/BCMA_nonint_0002__BCMA_model_1.pdb,/data1/lareauc/users/chuh/softwares/CARPNN/examples/03_lead_mutagenesis_boltz_refolded/predictions/af2_monomers/part_2/BCMA_nonint_0002_model_4.0_r10_af2.pdb,2.04
BCMA_nonint_0003,BCMA_nonint_0003__BCMA_model_3,examples/03_lead_mutagenesis_boltz_refolded/predictions/boltz_predictions/chunk_3/boltz_results_chunk_3/predictions/BCMA_nonint_0003__BCMA/BCMA_nonint_0003__BCMA_model_3.pdb,/data1/lareauc/users/chuh/softwares/CARPNN/examples/03_lead_mutagenesis_boltz_refolded/predictions/af2_monomers/part_2/BCMA_nonint_0003_model_4.0_r10_af2.pdb,0.65
BCMA_nonint_0003,BCMA_nonint_0003__BCMA_model_4,examples/03_lead_mutagenesis_boltz_refolded/predictions/boltz_predictions/chunk_3/boltz_results_chunk_3/predictions/BCMA_nonint_0003__BCMA/BCMA_nonint_0003__BCMA_model_4.pdb,/data1/lareauc/users/chuh/softwares/CARPNN/examples/03_lead_mutagenesis_boltz_refolded/predictions/af2_monomers/part_2/BCMA_nonint_0003_model_4.0_r10_af2.pdb,0.606
BCMA_nonint_0003,BCMA_nonint_0003__BCMA_model_0,examples/03_lead_mutagenesis_boltz_refolded/predictions/boltz_predictions/chunk_3/boltz_results_chunk_3/predictions/BCMA_nonint_0003__BCMA/BCMA_nonint_0003__BCMA_model_0.pdb,/data1/lareauc/users/chuh/softwares/CARPNN/examples/03_lead_mutagenesis_boltz_refolded/predictions/af2_monomers/part_2/BCMA_nonint_0003_model_4.0_r10_af2.pdb,0.542
BCMA_nonint_0003,BCMA_nonint_0003__BCMA_model_2,examples/03_lead_mutagenesis_boltz_refolded/predictions/boltz_predictions/chunk_3/boltz_results_chunk_3/predictions/BCMA_nonint_0003__BCMA/BCMA_nonint_0003__BCMA_model_2.pdb,/data1/lareauc/users/chuh/softwares/CARPNN/examples/03_lead_mutagenesis_boltz_refolded/predictions/af2_monomers/part_2/BCMA_nonint_0003_model_4.0_r10_af2.pdb,0.574
BCMA_nonint_0003,BCMA_nonint_0003__BCMA_model_1,examples/03_lead_mutagenesis_boltz_refolded/predictions/boltz_predictions/chunk_3/boltz_results_chunk_3/predictions/BCMA_nonint_0003__BCMA/BCMA_nonint_0003__BCMA_model_1.pdb,/data1/lareauc/users/chuh/softwares/CARPNN/examples/03_lead_mutagenesis_boltz_refolded/predictions/af2_monomers/part_2/BCMA_nonint_0003_model_4.0_r10_af2.pdb,0.539
BCMA_nonint_0004,BCMA_nonint_0004__BCMA_model_0,examples/03_lead_mutagenesis_boltz_refolded/predictions/boltz_predictions/chunk_3/boltz_results_chunk_3/predictions/BCMA_nonint_0004__BCMA/BCMA_nonint_0004__BCMA_model_0.pdb,/data1/lareauc/users/chuh/softwares/CARPNN/examples/03_lead_mutagenesis_boltz_refolded/predictions/af2_monomers/part_2/BCMA_nonint_0004_model_4.0_r10_af2.pdb,0.649
BCMA_nonint_0004,BCMA_nonint_0004__BCMA_model_3,examples/03_lead_mutagenesis_boltz_refolded/predictions/boltz_predictions/chunk_3/boltz_results_chunk_3/predictions/BCMA_nonint_0004__BCMA/BCMA_nonint_0004__BCMA_model_3.pdb,/data1/lareauc/users/chuh/softwares/CARPNN/examples/03_lead_mutagenesis_boltz_refolded/predictions/af2_monomers/part_2/BCMA_nonint_0004_model_4.0_r10_af2.pdb,0.702
BCMA_nonint_0004,BCMA_nonint_0004__BCMA_model_1,examples/03_lead_mutagenesis_boltz_refolded/predictions/boltz_predictions/chunk_3/boltz_results_chunk_3/predictions/BCMA_nonint_0004__BCMA/BCMA_nonint_0004__BCMA_model_1.pdb,/data1/lareauc/users/chuh/softwares/CARPNN/examples/03_lead_mutagenesis_boltz_refolded/predictions/af2_monomers/part_2/BCMA_nonint_0004_model_4.0_r10_af2.pdb,0.617
BCMA_nonint_0004,BCMA_nonint_0004__BCMA_model_4,examples/03_lead_mutagenesis_boltz_refolded/predictions/boltz_predictions/chunk_3/boltz_results_chunk_3/predictions/BCMA_nonint_0004__BCMA/BCMA_nonint_0004__BCMA_model_4.pdb,/data1/lareauc/users/chuh/softwares/CARPNN/examples/03_lead_mutagenesis_boltz_refolded/predictions/af2_monomers/part_2/BCMA_nonint_0004_model_4.0_r10_af2.pdb,0.509
BCMA_nonint_0004,BCMA_nonint_0004__BCMA_model_2,examples/03_lead_mutagenesis_boltz_refolded/predictions/boltz_predictions/chunk_3/boltz_results_chunk_3/predictions/BCMA_nonint_0004__BCMA/BCMA_nonint_0004__BCMA_model_2.pdb,/data1/lareauc/users/chuh/softwares/CARPNN/examples/03_lead_mutagenesis_boltz_refolded/predictions/af2_monomers/part_2/BCMA_nonint_0004_model_4.0_r10_af2.pdb,0.592
BCMA_nonint_0005,BCMA_nonint_0005__BCMA_model_0,examples/03_lead_mutagenesis_boltz_refolded/predictions/boltz_predictions/chunk_3/boltz_results_chunk_3/predictions/BCMA_nonint_0005__BCMA/BCMA_nonint_0005__BCMA_model_0.pdb,/data1/lareauc/users/chuh/softwares/CARPNN/examples/03_lead_mutagenesis_boltz_refolded/predictions/af2_monomers/part_2/BCMA_nonint_0005_model_4.0_r10_af2.pdb,2.853
BCMA_nonint_0005,BCMA_nonint_0005__BCMA_model_2,examples/03_lead_mutagenesis_boltz_refolded/predictions/boltz_predictions/chunk_3/boltz_results_chunk_3/predictions/BCMA_nonint_0005__BCMA/BCMA_nonint_0005__BCMA_model_2.pdb,/data1/lareauc/users/chuh/softwares/CARPNN/examples/03_lead_mutagenesis_boltz_refolded/predictions/af2_monomers/part_2/BCMA_nonint_0005_model_4.0_r10_af2.pdb,2.847
BCMA_nonint_0005,BCMA_nonint_0005__BCMA_model_4,examples/03_lead_mutagenesis_boltz_refolded/predictions/boltz_predictions/chunk_3/boltz_results_chunk_3/predictions/BCMA_nonint_0005__BCMA/BCMA_nonint_0005__BCMA_model_4.pdb,/data1/lareauc/users/chuh/softwares/CARPNN/examples/03_lead_mutagenesis_boltz_refolded/predictions/af2_monomers/part_2/BCMA_nonint_0005_model_4.0_r10_af2.pdb,2.771
BCMA_nonint_0005,BCMA_nonint_0005__BCMA_model_3,examples/03_lead_mutagenesis_boltz_refolded/predictions/boltz_predictions/chunk_3/boltz_results_chunk_3/predictions/BCMA_nonint_0005__BCMA/BCMA_nonint_0005__BCMA_model_3.pdb,/data1/lareauc/users/chuh/softwares/CARPNN/examples/03_lead_mutagenesis_boltz_refolded/predictions/af2_monomers/part_2/BCMA_nonint_0005_model_4.0_r10_af2.pdb,2.805
BCMA_nonint_0005,BCMA_nonint_0005__BCMA_model_1,examples/03_lead_mutagenesis_boltz_refolded/predictions/boltz_predictions/chunk_3/boltz_results_chunk_3/predictions/BCMA_nonint_0005__BCMA/BCMA_nonint_0005__BCMA_model_1.pdb,/data1/lareauc/users/chuh/softwares/CARPNN/examples/03_lead_mutagenesis_boltz_refolded/predictions/af2_monomers/part_2/BCMA_nonint_0005_model_4.0_r10_af2.pdb,2.686
BCMA_all_wildtype,BCMA_all_wildtype__BCMA_model_0,examples/03_lead_mutagenesis_boltz_refolded/predictions/boltz_predictions/chunk_1/boltz_results_chunk_1/predictions/BCMA_all_wildtype__BCMA/BCMA_all_wildtype__BCMA_model_0.pdb,/data1/lareauc/users/chuh/softwares/CARPNN/examples/03_lead_mutagenesis_boltz_refolded/predictions/af2_monomers/part_1/BCMA_all_wildtype_model_4.0_r10_af2.pdb,0.727
BCMA_all_wildtype,BCMA_all_wildtype__BCMA_model_3,examples/03_lead_mutagenesis_boltz_refolded/predictions/boltz_predictions/chunk_1/boltz_results_chunk_1/predictions/BCMA_all_wildtype__BCMA/BCMA_all_wildtype__BCMA_model_3.pdb,/data1/lareauc/users/chuh/softwares/CARPNN/examples/03_lead_mutagenesis_boltz_refolded/predictions/af2_monomers/part_1/BCMA_all_wildtype_model_4.0_r10_af2.pdb,0.712
BCMA_all_wildtype,BCMA_all_wildtype__BCMA_model_1,examples/03_lead_mutagenesis_boltz_refolded/predictions/boltz_predictions/chunk_1/boltz_results_chunk_1/predictions/BCMA_all_wildtype__BCMA/BCMA_all_wildtype__BCMA_model_1.pdb,/data1/lareauc/users/chuh/softwares/CARPNN/examples/03_lead_mutagenesis_boltz_refolded/predictions/af2_monomers/part_1/BCMA_all_wildtype_model_4.0_r10_af2.pdb,0.823
BCMA_all_wildtype,BCMA_all_wildtype__BCMA_model_4,examples/03_lead_mutagenesis_boltz_refolded/predictions/boltz_predictions/chunk_1/boltz_results_chunk_1/predictions/BCMA_all_wildtype__BCMA/BCMA_all_wildtype__BCMA_model_4.pdb,/data1/lareauc/users/chuh/softwares/CARPNN/examples/03_lead_mutagenesis_boltz_refolded/predictions/af2_monomers/part_1/BCMA_all_wildtype_model_4.0_r10_af2.pdb,0.793
BCMA_all_wildtype,BCMA_all_wildtype__BCMA_model_2,examples/03_lead_mutagenesis_boltz_refolded/predictions/boltz_predictions/chunk_1/boltz_results_chunk_1/predictions/BCMA_all_wildtype__BCMA/BCMA_all_wildtype__BCMA_model_2.pdb,/data1/lareauc/users/chuh/softwares/CARPNN/examples/03_lead_mutagenesis_boltz_refolded/predictions/af2_monomers/part_1/BCMA_all_wildtype_model_4.0_r10_af2.pdb,0.736
BCMA_all_0001,BCMA_all_0001__BCMA_model_0,examples/03_lead_mutagenesis_boltz_refolded/predictions/boltz_predictions/chunk_1/boltz_results_chunk_1/predictions/BCMA_all_0001__BCMA/BCMA_all_0001__BCMA_model_0.pdb,/data1/lareauc/users/chuh/softwares/CARPNN/examples/03_lead_mutagenesis_boltz_refolded/predictions/af2_monomers/part_1/BCMA_all_0001_model_4.0_r10_af2.pdb,0.658
BCMA_all_0001,BCMA_all_0001__BCMA_model_1,examples/03_lead_mutagenesis_boltz_refolded/predictions/boltz_predictions/chunk_1/boltz_results_chunk_1/predictions/BCMA_all_0001__BCMA/BCMA_all_0001__BCMA_model_1.pdb,/data1/lareauc/users/chuh/softwares/CARPNN/examples/03_lead_mutagenesis_boltz_refolded/predictions/af2_monomers/part_1/BCMA_all_0001_model_4.0_r10_af2.pdb,0.66
BCMA_all_0001,BCMA_all_0001__BCMA_model_4,examples/03_lead_mutagenesis_boltz_refolded/predictions/boltz_predictions/chunk_1/boltz_results_chunk_1/predictions/BCMA_all_0001__BCMA/BCMA_all_0001__BCMA_model_4.pdb,/data1/lareauc/users/chuh/softwares/CARPNN/examples/03_lead_mutagenesis_boltz_refolded/predictions/af2_monomers/part_1/BCMA_all_0001_model_4.0_r10_af2.pdb,0.699
BCMA_all_0001,BCMA_all_0001__BCMA_model_3,examples/03_lead_mutagenesis_boltz_refolded/predictions/boltz_predictions/chunk_1/boltz_results_chunk_1/predictions/BCMA_all_0001__BCMA/BCMA_all_0001__BCMA_model_3.pdb,/data1/lareauc/users/chuh/softwares/CARPNN/examples/03_lead_mutagenesis_boltz_refolded/predictions/af2_monomers/part_1/BCMA_all_0001_model_4.0_r10_af2.pdb,0.708
BCMA_all_0001,BCMA_all_0001__BCMA_model_2,examples/03_lead_mutagenesis_boltz_refolded/predictions/boltz_predictions/chunk_1/boltz_results_chunk_1/predictions/BCMA_all_0001__BCMA/BCMA_all_0001__BCMA_model_2.pdb,/data1/lareauc/users/chuh/softwares/CARPNN/examples/03_lead_mutagenesis_boltz_refolded/predictions/af2_monomers/part_1/BCMA_all_0001_model_4.0_r10_af2.pdb,0.625
BCMA_all_0002,BCMA_all_0002__BCMA_model_2,examples/03_lead_mutagenesis_boltz_refolded/predictions/boltz_predictions/chunk_1/boltz_results_chunk_1/predictions/BCMA_all_0002__BCMA/BCMA_all_0002__BCMA_model_2.pdb,/data1/lareauc/users/chuh/softwares/CARPNN/examples/03_lead_mutagenesis_boltz_refolded/predictions/af2_monomers/part_1/BCMA_all_0002_model_4.0_r10_af2.pdb,0.546
BCMA_all_0002,BCMA_all_0002__BCMA_model_0,examples/03_lead_mutagenesis_boltz_refolded/predictions/boltz_predictions/chunk_1/boltz_results_chunk_1/predictions/BCMA_all_0002__BCMA/BCMA_all_0002__BCMA_model_0.pdb,/data1/lareauc/users/chuh/softwares/CARPNN/examples/03_lead_mutagenesis_boltz_refolded/predictions/af2_monomers/part_1/BCMA_all_0002_model_4.0_r10_af2.pdb,0.595
BCMA_all_0002,BCMA_all_0002__BCMA_model_3,examples/03_lead_mutagenesis_boltz_refolded/predictions/boltz_predictions/chunk_1/boltz_results_chunk_1/predictions/BCMA_all_0002__BCMA/BCMA_all_0002__BCMA_model_3.pdb,/data1/lareauc/users/chuh/softwares/CARPNN/examples/03_lead_mutagenesis_boltz_refolded/predictions/af2_monomers/part_1/BCMA_all_0002_model_4.0_r10_af2.pdb,0.558
BCMA_all_0002,BCMA_all_0002__BCMA_model_1,examples/03_lead_mutagenesis_boltz_refolded/predictions/boltz_predictions/chunk_1/boltz_results_chunk_1/predictions/BCMA_all_0002__BCMA/BCMA_all_0002__BCMA_model_1.pdb,/data1/lareauc/users/chuh/softwares/CARPNN/examples/03_lead_mutagenesis_boltz_refolded/predictions/af2_monomers/part_1/BCMA_all_0002_model_4.0_r10_af2.pdb,0.606
BCMA_all_0002,BCMA_all_0002__BCMA_model_4,examples/03_lead_mutagenesis_boltz_refolded/predictions/boltz_predictions/chunk_1/boltz_results_chunk_1/predictions/BCMA_all_0002__BCMA/BCMA_all_0002__BCMA_model_4.pdb,/data1/lareauc/users/chuh/softwares/CARPNN/examples/03_lead_mutagenesis_boltz_refolded/predictions/af2_monomers/part_1/BCMA_all_0002_model_4.0_r10_af2.pdb,0.496
BCMA_all_0003,BCMA_all_0003__BCMA_model_0,examples/03_lead_mutagenesis_boltz_refolded/predictions/boltz_predictions/chunk_1/boltz_results_chunk_1/predictions/BCMA_all_0003__BCMA/BCMA_all_0003__BCMA_model_0.pdb,/data1/lareauc/users/chuh/softwares/CARPNN/examples/03_lead_mutagenesis_boltz_refolded/predictions/af2_monomers/part_1/BCMA_all_0003_model_4.0_r10_af2.pdb,0.669
BCMA_all_0003,BCMA_all_0003__BCMA_model_4,examples/03_lead_mutagenesis_boltz_refolded/predictions/boltz_predictions/chunk_1/boltz_results_chunk_1/predictions/BCMA_all_0003__BCMA/BCMA_all_0003__BCMA_model_4.pdb,/data1/lareauc/users/chuh/softwares/CARPNN/examples/03_lead_mutagenesis_boltz_refolded/predictions/af2_monomers/part_1/BCMA_all_0003_model_4.0_r10_af2.pdb,0.512
BCMA_all_0003,BCMA_all_0003__BCMA_model_1,examples/03_lead_mutagenesis_boltz_refolded/predictions/boltz_predictions/chunk_1/boltz_results_chunk_1/predictions/BCMA_all_0003__BCMA/BCMA_all_0003__BCMA_model_1.pdb,/data1/lareauc/users/chuh/softwares/CARPNN/examples/03_lead_mutagenesis_boltz_refolded/predictions/af2_monomers/part_1/BCMA_all_0003_model_4.0_r10_af2.pdb,0.6
BCMA_all_0003,BCMA_all_0003__BCMA_model_3,examples/03_lead_mutagenesis_boltz_refolded/predictions/boltz_predictions/chunk_1/boltz_results_chunk_1/predictions/BCMA_all_0003__BCMA/BCMA_all_0003__BCMA_model_3.pdb,/data1/lareauc/users/chuh/softwares/CARPNN/examples/03_lead_mutagenesis_boltz_refolded/predictions/af2_monomers/part_1/BCMA_all_0003_model_4.0_r10_af2.pdb,0.598
BCMA_all_0003,BCMA_all_0003__BCMA_model_2,examples/03_lead_mutagenesis_boltz_refolded/predictions/boltz_predictions/chunk_1/boltz_results_chunk_1/predictions/BCMA_all_0003__BCMA/BCMA_all_0003__BCMA_model_2.pdb,/data1/lareauc/users/chuh/softwares/CARPNN/examples/03_lead_mutagenesis_boltz_refolded/predictions/af2_monomers/part_1/BCMA_all_0003_model_4.0_r10_af2.pdb,0.595
BCMA_all_0004,BCMA_all_0004__BCMA_model_0,examples/03_lead_mutagenesis_boltz_refolded/predictions/boltz_predictions/chunk_1/boltz_results_chunk_1/predictions/BCMA_all_0004__BCMA/BCMA_all_0004__BCMA_model_0.pdb,/data1/lareauc/users/chuh/softwares/CARPNN/examples/03_lead_mutagenesis_boltz_refolded/predictions/af2_monomers/part_1/BCMA_all_0004_model_4.0_r10_af2.pdb,1.355
BCMA_all_0004,BCMA_all_0004__BCMA_model_4,examples/03_lead_mutagenesis_boltz_refolded/predictions/boltz_predictions/chunk_1/boltz_results_chunk_1/predictions/BCMA_all_0004__BCMA/BCMA_all_0004__BCMA_model_4.pdb,/data1/lareauc/users/chuh/softwares/CARPNN/examples/03_lead_mutagenesis_boltz_refolded/predictions/af2_monomers/part_1/BCMA_all_0004_model_4.0_r10_af2.pdb,1.334
